"","mds_1dim","date"
"1820_0_2_164",-48.9498941570378,1842
"1820_0_2_165",-77.0241393678386,1826
"1820_0_2_166",-87.9350400755885,1837
"1820_0_2_167",-69.4859503372121,1843
"1820_0_2_168",-137.217184268122,1843
"1820_0_2_169",-114.859687120785,1848
"1820_0_2_170",61.5835652952402,1839
"1820_0_2_171",44.9362353040001,1839
"1820_0_2_172",-33.6824052345004,1844
"1820_0_2_173",50.5387745666728,1848
"1820_0_2_174",-77.1381335369811,1843
"1820_0_2_175",-75.4275017697651,1839
"1820_0_2_176",-170.811282783069,1839
"1820_0_2_177",-86.3414353096376,1844
"1820_0_2_178",-77.4414163893986,1847
"1820_0_2_179",-126.721607129458,1847
"1820_0_2_180",-106.082956681956,1847
"1820_0_2_181",-33.9264624991342,1848
"1820_0_2_182",64.4170980138646,1788
"1820_0_2_183",63.3245289773479,1807
"1820_0_2_184",178.781593685701,1812
"1820_0_2_185",32.2119652796401,1845
"1820_0_2_186",102.973618218628,1835
"1820_0_2_187",93.6052830605445,1841
"1820_0_2_89",70.3005796346201,1797
"1820_0_2_90",82.1820695313183,1800
"1820_0_2_91",-170.024715257869,1786
"1820_0_2_92",150.626202840603,1781
"1820_0_2_93",137.179566556317,1799
"1820_0_2_94",95.1126368455496,1781
"1820_0_2_95",117.260233401628,1781
"1820_0_2_96",63.1051928105481,1782
"1820_0_2_97",67.8538996553151,1799
"1820_0_2_98",29.3145441571322,1793
"1820_0_2_99",15.5453124688304,1796
"1880_0_3_188",8.75320583324623,1861
"1880_0_3_189",118.8756656063,1862
"1880_0_3_190",90.990317265011,1854
"1880_0_3_191",130.4856804871,1855
"1880_0_3_192",95.1606684256556,1866
"1880_0_3_193",49.2698857119777,1857
"1880_0_3_194",29.7621351537044,1883
"1880_0_3_195",74.9586845382134,1885
"1880_0_3_196",94.3212192990405,1892
"1880_0_3_197",80.8831215380134,1865
"1880_0_3_198",17.0353020469807,1869
"1880_0_3_199",-39.7293459299211,1870
"1880_0_3_200",55.7394336606495,1870
"1880_0_3_201",-41.2369798979889,1888
"1880_0_3_202",133.441084431163,1868
"1880_0_3_203",53.7272427368813,1859
"1880_0_3_204",51.9717968171353,1863
"1880_0_3_205",62.4724966663704,1863
"1880_0_3_206",139.173488560993,1869
"1880_0_3_207",96.6498487609151,1894
"1880_0_3_208",91.3723908742359,1850
"1880_0_3_209",131.780377970469,1867
"1880_0_3_210",123.576339919967,1869
"1880_0_3_211",-149.182983204473,1873
"1880_0_3_212",30.5097177640958,1889
"1880_0_3_213",5.50336636509081,1870
"1880_0_3_214",71.2986127727246,1895
"1880_0_3_215",84.7331268794668,1879
"1880_0_3_216",48.8474858190736,1879
"1880_0_3_217",40.285970410362,1890
"1880_0_3_218",66.9921887515331,1856
"1880_0_3_219",91.8974300766422,1893
"1880_0_3_220",0.407691580890879,1896
"1880_0_3_221",-19.00652000731,1865
"1880_0_3_222",-85.3094179504881,1871
"1880_0_3_223",37.3774446802531,1874
"1880_0_3_224",11.2430168070686,1878
"1880_0_3_225",60.9707528258245,1884
"1880_0_3_226",82.0703534994511,1889
"1880_0_3_227",190.750593549562,1880
"1880_0_3_228",65.2612046934213,1903
"1880_0_3_229",30.4472011011241,1912
